symbol,side,qty,notional,target_weight,current_weight,weight_diff,price,timestamp_utc
APA,buy,640.4851,26086.96,0.0261,0.0,0.0261,40.73,2026-04-30_234142
HAL,buy,616.7129,26086.96,0.0261,0.0,0.0261,42.3,2026-04-30_234142
EL,buy,340.0724,26086.96,0.0261,0.0,0.0261,76.71,2026-04-30_234142
VLO,buy,103.282,26086.96,0.0261,0.0,0.0261,252.58,2026-04-30_234142
KO,buy,331.2209,26086.96,0.0261,0.0,0.0261,78.76,2026-04-30_234142
MNST,buy,338.4839,26086.96,0.0261,0.0,0.0261,77.07,2026-04-30_234142
TGT,buy,201.0555,26086.96,0.0261,0.0,0.0261,129.75,2026-04-30_234142
FTV,buy,405.1447,24223.6,0.0242,0.0,0.0242,59.79,2026-04-30_234142
TT,buy,49.181,24223.6,0.0242,0.0,0.0242,492.54,2026-04-30_234142
PH,buy,26.6363,24223.6,0.0242,0.0,0.0242,909.42,2026-04-30_234142
ODFL,buy,114.031,24223.6,0.0242,0.0,0.0242,212.43,2026-04-30_234142
NOC,buy,41.8023,24223.6,0.0242,0.0,0.0242,579.48,2026-04-30_234142
UAL,buy,269.1511,24223.6,0.0242,0.0,0.0242,90.0,2026-04-30_234142
RTX,buy,137.5794,24223.6,0.0242,0.0,0.0242,176.07,2026-04-30_234142
DHR,buy,124.5186,22282.61,0.0223,0.0,0.0223,178.95,2026-04-30_234142
ALGN,buy,126.5985,22282.61,0.0223,0.0,0.0223,176.01,2026-04-30_234142
BSX,buy,386.7837,22282.61,0.0223,0.0,0.0223,57.61,2026-04-30_234142
EW,buy,266.8576,22282.61,0.0223,0.0,0.0223,83.5,2026-04-30_234142
REGN,buy,31.5145,22282.61,0.0223,0.0,0.0223,707.06,2026-04-30_234142
TMO,buy,46.5229,22282.61,0.0223,0.0,0.0223,478.96,2026-04-30_234142
INCY,buy,233.889,22282.61,0.0223,0.0,0.0223,95.27,2026-04-30_234142
IQV,buy,140.6997,22282.61,0.0223,0.0,0.0223,158.37,2026-04-30_234142
INTC,buy,235.2056,22222.22,0.0222,0.0,0.0222,94.48,2026-04-30_234142
MSCI,buy,37.575,22222.22,0.0222,0.0,0.0222,591.41,2026-04-30_234142
ON,buy,220.4367,22222.22,0.0222,0.0,0.0222,100.81,2026-04-30_234142
ORCL,buy,137.6927,22222.22,0.0222,0.0,0.0222,161.39,2026-04-30_234142
WDC,buy,51.142,22222.22,0.0222,0.0,0.0222,434.52,2026-04-30_234142
WTW,buy,86.7378,22222.22,0.0222,0.0,0.0222,256.2,2026-04-30_234142
