symbol,side,qty,notional,target_weight,current_weight,weight_diff,price,timestamp_utc
BKR,sell,86.1203,6000.0,-0.006,0.0,-0.006,69.67,2026-05-01T01:17:31.444697+00:00
CL,sell,70.2905,6000.0,-0.006,0.0,-0.006,85.36,2026-05-01T01:17:31.444697+00:00
CLX,sell,62.2148,6000.0,-0.006,0.0,-0.006,96.44,2026-05-01T01:17:31.444697+00:00
KMB,sell,60.957,6000.0,-0.006,0.0,-0.006,98.43,2026-05-01T01:17:31.444697+00:00
KMI,sell,182.5373,6000.0,-0.006,0.0,-0.006,32.87,2026-05-01T01:17:31.444697+00:00
PG,sell,40.7914,6000.0,-0.006,0.0,-0.006,147.09,2026-05-01T01:17:31.444697+00:00
WMB,sell,78.6267,6000.0,-0.006,0.0,-0.006,76.31,2026-05-01T01:17:31.444697+00:00
ADP,sell,26.2878,5571.43,-0.0056,0.0,-0.0056,211.94,2026-05-01T01:17:31.444697+00:00
CMI,sell,8.303,5571.43,-0.0056,0.0,-0.0056,671.01,2026-05-01T01:17:31.444697+00:00
EFX,sell,32.0307,5571.43,-0.0056,0.0,-0.0056,173.94,2026-05-01T01:17:31.444697+00:00
GD,sell,16.1819,5571.43,-0.0056,0.0,-0.0056,344.3,2026-05-01T01:17:31.444697+00:00
PAYX,sell,60.1471,5571.43,-0.0056,0.0,-0.0056,92.63,2026-05-01T01:17:31.444697+00:00
UPS,sell,51.208,5571.43,-0.0056,0.0,-0.0056,108.8,2026-05-01T01:17:31.444697+00:00
VRSK,sell,30.1991,5571.43,-0.0056,0.0,-0.0056,184.49,2026-05-01T01:17:31.444697+00:00
AMP,sell,10.999,5222.22,-0.0052,0.0,-0.0052,474.79,2026-05-01T01:17:31.444697+00:00
BK,sell,38.8645,5222.22,-0.0052,0.0,-0.0052,134.37,2026-05-01T01:17:31.444697+00:00
CB,sell,15.9701,5222.22,-0.0052,0.0,-0.0052,327.0,2026-05-01T01:17:31.444697+00:00
FIS,sell,112.2334,5222.22,-0.0052,0.0,-0.0052,46.53,2026-05-01T01:17:31.444697+00:00
MS,sell,27.4003,5222.22,-0.0052,0.0,-0.0052,190.59,2026-05-01T01:17:31.444697+00:00
PGR,sell,25.9451,5222.22,-0.0052,0.0,-0.0052,201.28,2026-05-01T01:17:31.444697+00:00
PNC,sell,23.418,5222.22,-0.0052,0.0,-0.0052,223.0,2026-05-01T01:17:31.444697+00:00
RF,sell,182.915,5222.22,-0.0052,0.0,-0.0052,28.55,2026-05-01T01:17:31.444697+00:00
TFC,sell,101.4024,5222.22,-0.0052,0.0,-0.0052,51.5,2026-05-01T01:17:31.444697+00:00
ABBV,sell,24.2523,5125.0,-0.0051,0.0,-0.0051,211.32,2026-05-01T01:17:31.444697+00:00
ABT,sell,56.4489,5125.0,-0.0051,0.0,-0.0051,90.79,2026-05-01T01:17:31.444697+00:00
CNC,sell,95.4554,5125.0,-0.0051,0.0,-0.0051,53.69,2026-05-01T01:17:31.444697+00:00
CVS,sell,61.532,5125.0,-0.0051,0.0,-0.0051,83.29,2026-05-01T01:17:31.444697+00:00
ELV,sell,13.6151,5125.0,-0.0051,0.0,-0.0051,376.42,2026-05-01T01:17:31.444697+00:00
HUM,sell,21.6757,5125.0,-0.0051,0.0,-0.0051,236.44,2026-05-01T01:17:31.444697+00:00
JNJ,sell,22.2971,5125.0,-0.0051,0.0,-0.0051,229.85,2026-05-01T01:17:31.444697+00:00
ZTS,sell,44.5768,5125.0,-0.0051,0.0,-0.0051,114.97,2026-05-01T01:17:31.444697+00:00
ADBE,sell,20.7684,5111.11,-0.0051,0.0,-0.0051,246.1,2026-05-01T01:17:31.444697+00:00
AVGO,sell,12.2442,5111.11,-0.0051,0.0,-0.0051,417.43,2026-05-01T01:17:31.444697+00:00
CSCO,sell,55.8591,5111.11,-0.0051,0.0,-0.0051,91.5,2026-05-01T01:17:31.444697+00:00
