symbol,qty,market_value,side,timestamp_utc
ABBV,-24.0,-4971.12,short,2026-05-05T14:37:22.790696+00:00
ABT,-56.0,-4861.92,short,2026-05-05T14:37:22.790696+00:00
ADBE,-20.0,-5028.3,short,2026-05-05T14:37:22.790696+00:00
ADP,-26.0,-5391.36,short,2026-05-05T14:37:22.790696+00:00
AEP,-36.0,-4944.96,short,2026-05-05T14:37:22.790696+00:00
ALGN,126.0,21506.31,long,2026-05-05T14:37:22.790696+00:00
AMD,62.0,21834.54,long,2026-05-05T14:37:22.790696+00:00
AMP,-10.0,-4715.7,short,2026-05-05T14:37:22.790696+00:00
AMT,-27.0,-4811.94,short,2026-05-05T14:37:22.790696+00:00
APA,638.0,26336.64,long,2026-05-05T14:37:22.790696+00:00
AVGO,-12.0,-5064.48,short,2026-05-05T14:37:22.790696+00:00
BK,-38.0,-5014.67,short,2026-05-05T14:37:22.790696+00:00
BKNG,128.0,21290.24,long,2026-05-05T14:37:22.790696+00:00
BKR,-86.0,-5876.38,short,2026-05-05T14:37:22.790696+00:00
BLK,21.0,22214.22,long,2026-05-05T14:37:22.790696+00:00
BSX,385.0,21704.375,long,2026-05-05T14:37:22.790696+00:00
BX,180.0,22351.5,long,2026-05-05T14:37:22.790696+00:00
CB,-15.0,-4859.4,short,2026-05-05T14:37:22.790696+00:00
CCL,817.0,21262.425,long,2026-05-05T14:37:22.790696+00:00
CF,174.0,22116.27,long,2026-05-05T14:37:22.790696+00:00
CHTR,131.0,20923.32,long,2026-05-05T14:37:22.790696+00:00
CL,-70.0,-5954.9,short,2026-05-05T14:37:22.790696+00:00
CLX,-62.0,-5296.66,short,2026-05-05T14:37:22.790696+00:00
CMI,-8.0,-5359.32,short,2026-05-05T14:37:22.790696+00:00
CNC,-95.0,-5162.3,short,2026-05-05T14:37:22.790696+00:00
COF,118.0,22443.6,long,2026-05-05T14:37:22.790696+00:00
CPAY,73.0,22183.24,long,2026-05-05T14:37:22.790696+00:00
CSCO,-55.0,-5154.6,short,2026-05-05T14:37:22.790696+00:00
CVS,-61.0,-4946.49,short,2026-05-05T14:37:22.790696+00:00
D,-77.0,-4838.68,short,2026-05-05T14:37:22.790696+00:00
